date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:58	34724/34724	---M--	200	added ('OK')	text/html	etag:W/%2287a4-MHSQLqTscSvp8+MThqo7b8N5M7M%22	https://mycrd.in/new-tiruppur-traders	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/new-tiruppur-traders.html	(from )
22:11:00	9923/9923	---M--	200	added ('OK')	text/html	etag:W/%2226c3-Gda3WjKdT6yckWEjXck6wwTkqrU%22	https://mycrd.in/robots.txt		(from )
22:11:01	906/906	---MC-	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202021%2016:41:00%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400,500,700,900	/home/sankarmoorthy/websites/PANDIANREALESTATES/fonts.googleapis.com/cssd5a5.css	(from https://mycrd.in/new-tiruppur-traders)
22:11:01	238/238	---MC-	200	added ('OK')	text/css	date:Sun,%2018%20Jul%202021%2016:41:01%20GMT	https://fonts.googleapis.com/css?family=Shadows+Into%20Light&display=swap	/home/sankarmoorthy/websites/PANDIANREALESTATES/fonts.googleapis.com/cssa12c.css	(from https://mycrd.in/new-tiruppur-traders)
22:11:03	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css	/home/sankarmoorthy/websites/PANDIANREALESTATES/use.fontawesome.com/releases/v5.0.13/css/all.css	(from https://mycrd.in/new-tiruppur-traders)
22:11:03	18073/18073	---M--	200	added ('OK')	text/css	etag:W/%224699-17ab81213c2%22	https://mycrd.in/templates/template1/style.css	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/templates/template1/style.css	(from https://mycrd.in/new-tiruppur-traders)
22:11:04	3191/3191	---M--	200	added ('OK')	text/css	etag:W/%22c77-17ab8121326%22	https://mycrd.in/templates/common/css/star-rating.css	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/templates/common/css/star-rating.css	(from https://mycrd.in/new-tiruppur-traders)
22:11:05	19157/19157	---M-Z	200	added ('OK')	text/css	etag:%225ed26416-4ad5%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/css/intlTelInput.min.css	/home/sankarmoorthy/websites/PANDIANREALESTATES/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.3/css/intlTelInput.min.css	(from https://mycrd.in/new-tiruppur-traders)
22:11:06	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22673a86b4d7c948063833738cd9fe1dd7%22	https://connect.facebook.net/en_US/sdk.js	/home/sankarmoorthy/websites/PANDIANREALESTATES/connect.facebook.net/en_US/sdk.js	(from https://mycrd.in/new-tiruppur-traders)
22:11:08	63985/63985	---M--	200	added ('OK')	application/octet-stream	etag:%2242d6647963a2c62fc925388d0cdb1ab4%22	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599481719022.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599481719022.jpeg	(from https://mycrd.in/new-tiruppur-traders)
